gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	E1	F1	B1	D1	C1	AA
K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Citrate cycle (TCA cycle, Krebs cycle)	carbon utilization	central carbon	TCA	9.0	4.0	9.0	9.0	9.0	8.0
K01647	citrate synthase [EC:2.3.3.1] [RN:R00351]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	carbon utilization	central carbon	TCA	3.0	3.0	2.0	3.0	3.0	3.0
K01682	aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	carbon utilization	central carboTCA	4.0	4.0	2.0	4.0	4.0	4.0
K00031	isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	carbon utilization	central carbon	TCA	3.0	3.0	1.0	3.0	3.0	3.0
K00030	isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	carbon utilization	central carbon	TCA	2.0	2.0	1.0	2.0	2.0	2.0
K00164	2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	1.0	1.0	1.0	1.0	1.0	1.0
K00658	2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	1.0	1.0	1.0	1.0	1.0	1.0
K00382	2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	9.0	7.0	8.0	9.0	9.0	6.0
K01899	succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	1.0	1.0	0.0	1.0	1.0	1.0
K01900	succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	1.0	1.0	1.0	1.0	1.0	1.0
K18118	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carboTCA	1.0	1.0	1.0	1.0	1.0	1.0
K00234	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	6.0	5.0	4.0	6.0	6.0	6.0
K00235	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	1.0	1.0	1.0	1.0	1.0	1.0
K00236	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	2.0	2.0	1.0	2.0	2.0	2.0
K00237	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	3.0	3.0	2.0	3.0	3.0	3.0
K00239	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	1.0	0.0	2.0	1.0	1.0	1.0
K01676	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	2.0	0.0	2.0	2.0	2.0	2.0
K01679	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	4.0	4.0	4.0	4.0	4.0	3.0
K00026	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	3.0	3.0	3.0	3.0	3.0	3.0
K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	9.0	4.0	9.0	9.0	9.0	8.0
K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	9.0	4.0	9.0	9.0	9.0	8.0
K00027	malate dehydrogenase (oxaloacetate-decarboxylating)	TCA /Reductive TCA	carbon utilization	central carbon	TCA	5.0	3.0	4.0	4.0	5.0	3.0
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	3.0	2.0	4.0	3.0	3.0	2.0
K01057	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	6.0	5.0	6.0	6.0	6.0	5.0
K07404	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	2.0	1.0	2.0	2.0	2.0	1.0
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbopentose pathway	6.0	4.0	5.0	6.0	6.0	4.0
K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	3.0	2.0	2.0	3.0	3.0	2.0
K01807	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	4.0	2.0	4.0	4.0	4.0	3.0
K00615	transketolase [EC:2.2.1.1] [RN:R01641]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	6.0	4.0	4.0	6.0	6.0	5.0
K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	3.0	3.0	3.0	3.0	3.0	2.0
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	3.0	2.0	3.0	3.0	3.0	2.0
K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1] [RN:R01049]	PRPP biosynthesis, ribose 5P => PRPP	carbon utilization	central carbon	pentose pathway	9.0	7.0	7.0	9.0	9.0	7.0
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	carbon utilization	central carbon	pentose pathway	3.0	2.0	4.0	3.0	3.0	2.0
K01057	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	carbon utilization	central carbon	pentose pathway	6.0	5.0	6.0	6.0	6.0	5.0
K07404	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	carbon utilization	central carbon	pentose pathway	2.0	1.0	2.0	2.0	2.0	1.0
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221]	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	carbon utilization	central carbon	pentose pathway	6.0	4.0	5.0	6.0	6.0	4.0
K00615	transketolase [EC:2.2.1.1] [RN:R01830 R01641]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	6.0	4.0	4.0	6.0	6.0	5.0
K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	3.0	3.0	3.0	3.0	3.0	2.0
K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	carbon utilization	central carbopentose pathway	3.0	2.0	2.0	3.0	3.0	2.0
K01807	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	carbon utilization	central carbopentose pathway	4.0	2.0	4.0	4.0	4.0	3.0
K08094	6-phospho-3-hexuloisomerase [EC:5.3.1.27] [RN:R09780]	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	1.0	1.0	1.0	1.0	1.0	0.0
K08093	3-hexulose-6-phosphate synthase [EC:4.1.2.43] [RN:R05338]	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	1.0	1.0	1.0	1.0	1.0	0.0
K01807	ribose 5-phosphate isomerase A [EC:5.3.1.6] [RN:R01056]	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	4.0	2.0	4.0	4.0	4.0	3.0
K01053	gluconolactonase	Pentose phosphate pathway	carbon utilization	central carbon	pentose pathway	1.0	1.0	0.0	1.0	1.0	1.0
K00844	hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	5.0	5.0	3.0	5.0	5.0	5.0
K00845	hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	2.0	1.0	2.0	2.0	2.0	1.0
K00886	polyphosphate glucokinase [EC:2.7.1.63] [RN:R02189]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	0.0	1.0	0.0	0.0	0.0	1.0
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	3.0	2.0	3.0	3.0	3.0	2.0
K00850	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	3.0	2.0	2.0	3.0	3.0	3.0
K01624	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	2.0	1.0	2.0	2.0	2.0	2.0
K01803	triosephosphate isomerase [EC:5.3.1.1] [RN:R01015]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	3.0	2.0	3.0	3.0	3.0	2.0
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	5.0	6.0	4.0	6.0	6.0	4.0
K00927	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	3.0	2.0	3.0	3.0	3.0	2.0
K01834	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	22.0	13.0	21.0	22.0	22.0	15.0
K15634	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	4.0	1.0	6.0	4.0	4.0	4.0
K01689	enolase [EC:4.2.1.11] [RN:R00658]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	6.0	4.0	5.0	6.0	6.0	7.0
K00873	pyruvate kinase [EC:2.7.1.40] [RN:R00200]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	5.0	3.0	5.0	5.0	5.0	4.0
K01803	triosephosphate isomerase [EC:5.3.1.1] [RN:R01015]	Glycolysis, core module involving three-carbon compounds	carbon utilization	central carbon	glycolysis	3.0	2.0	3.0	3.0	3.0	2.0
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	Glycolysis, core module involving three-carbon compounds	carbon utilization	central carbon	glycolysis	5.0	6.0	4.0	6.0	6.0	4.0
K00927	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	Glycolysis, core module involving three-carbon compounds	carbon utilization	central carbon	glycolysis	3.0	2.0	3.0	3.0	3.0	2.0
K01834	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	Glycolysis, core module involving three-carbon compounds	carbon utilization	central carbon	glycolysis	22.0	13.0	21.0	22.0	22.0	15.0
K15634	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	Glycolysis, core module involving three-carbon compounds	carbon utilization	central carbon	glycolysis	4.0	1.0	6.0	4.0	4.0	4.0
K01689	enolase [EC:4.2.1.11] [RN:R00658]	Glycolysis, core module involving three-carbon compounds	carbon utilization	central carbon	glycolysis	6.0	4.0	5.0	6.0	6.0	7.0
K00873	pyruvate kinase [EC:2.7.1.40] [RN:R00200]	Glycolysis, core module involving three-carbon compounds	carbon utilization	central carbon	glycolysis	5.0	3.0	5.0	5.0	5.0	4.0
K01610	phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]	Gluconeogenesis, oxaloacetate => fructose-6P	carbon utilization	central carboglycolysis	3.0	2.0	3.0	3.0	3.0	2.0
K01689	enolase [EC:4.2.1.11] [RN:R00658]	Gluconeogenesis, oxaloacetate => fructose-6P	carbon utilization	central carbon	glycolysis	6.0	4.0	5.0	6.0	6.0	7.0
K01834	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	Gluconeogenesis, oxaloacetate => fructose-6P	carbon utilization	central carbon	glycolysis	22.0	13.0	21.0	22.0	22.0	15.0
K15634	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	Gluconeogenesis, oxaloacetate => fructose-6P	carbon utilization	central carbon	glycolysis	4.0	1.0	6.0	4.0	4.0	4.0
K00927	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	Gluconeogenesis, oxaloacetate => fructose-6P	carbon utilization	central carbon	glycolysis	3.0	2.0	3.0	3.0	3.0	2.0
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	Gluconeogenesis, oxaloacetate => fructose-6P	carbon utilization	central carboglycolysis	5.0	6.0	4.0	6.0	6.0	4.0
K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1] [RN:R01015]	Gluconeogenesis, oxaloacetate => fructose-6P	carbon utilization	central carbon	glycolysis	3.0	2.0	3.0	3.0	3.0	2.0
K01624	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	Gluconeogenesis, oxaloacetate => fructose-6P	carbon utilization	central carbon	glycolysis	2.0	1.0	2.0	2.0	2.0	2.0
K03841	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	Gluconeogenesis, oxaloacetate => fructose-6P	carbon utilization	central carbon	glycolysis	1.0	1.0	1.0	1.0	1.0	1.0
K01086	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	Gluconeogenesis, oxaloacetate => fructose-6P	carbon utilization	central carbon	glycolysis	1.0	1.0	1.0	1.0	1.0	1.0
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] [RN:R02736 R10907]	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	carbon utilization	central carbon	glycolysis	3.0	2.0	4.0	3.0	3.0	2.0
K01057	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	carbon utilization	central carbon	glycolysis	6.0	5.0	6.0	6.0	6.0	5.0
K07404	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	carbon utilization	central carbon	glycolysis	2.0	1.0	2.0	2.0	2.0	1.0
K01625	2-dehydro-3-deoxyphosphogluconate aldolase [EC:4.1.2.14] [RN:R05605]	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	carbon utilization	central carbon	glycolysis	2.0	1.0	1.0	2.0	2.0	1.0
K01647	citrate synthase [EC:2.3.3.1] [RN:R00351]	Glyoxylate cycle	carbon utilization	central carbon	glycolysis	3.0	3.0	2.0	3.0	3.0	3.0
K01682	aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900]	Glyoxylate cycle	carbon utilization	central carbon	glycolysis	4.0	4.0	2.0	4.0	4.0	4.0
K01637	isocitrate lyase [EC:4.1.3.1] [RN:R00479]	Glyoxylate cycle	carbon utilization	central carbon	glycolysis	2.0	2.0	2.0	2.0	2.0	2.0
K01638	malate synthase [EC:2.3.3.9] [RN:R00472]	Glyoxylate cycle	carbon utilization	central carbon	glycolysis	2.0	2.0	1.0	2.0	2.0	2.0
K00026	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Glyoxylate cycle	carbon utilization	central carbon	glycolysis	3.0	3.0	3.0	3.0	3.0	3.0
K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Glyoxylate cycle	carbon utilization	central carbon	glycolysis	9.0	4.0	9.0	9.0	9.0	8.0
K01625	2-dehydro-3-deoxyphosphogluconate aldolase [EC:4.1.2.14] [RN:R05605]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	carbon utilization	central carbon	glycolysis	2.0	1.0	1.0	2.0	2.0	1.0
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] [RN:R01061]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	carbon utilization	central carbon	glycolysis	5.0	6.0	4.0	6.0	6.0	4.0
K00927	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	carbon utilization	central carboglycolysis	3.0	2.0	3.0	3.0	3.0	2.0
K01631	2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21] [RN:R01064]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	carbon utilization	central carbon	glycolysis	2.0	1.0	1.0	2.0	2.0	1.0
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] [RN:R01061]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	carbon utilization	central carbon	glycolysis	5.0	6.0	4.0	6.0	6.0	4.0
K00927	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	carbon utilization	central carbon	glycolysis	3.0	2.0	3.0	3.0	3.0	2.0
K01812	glucuronate isomerase [EC:5.3.1.12] [RN:R01983]	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	carbon utilization	central carbon	glycolysis	2.0	2.0	2.0	2.0	2.0	0.0
K01625	2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14] [RN:R05605]	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	carbon utilization	central carbon	glycolysis	2.0	1.0	1.0	2.0	2.0	1.0
K01785	aldose 1-epimerase [EC:5.1.3.3] [RN:R10619]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	carbon utilization	central carbon	glycolysis	10.0	6.0	8.0	10.0	10.0	7.0
K00849	galactokinase [EC:2.7.1.6] [RN:R01092]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	carbon utilization	central carbon	glycolysis	4.0	3.0	3.0	4.0	4.0	3.0
K00965	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12] [RN:R00955]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	carbon utilization	central carbon	glycolysis	4.0	2.0	4.0	4.0	4.0	3.0
K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	carbon utilization	central carbon	glycolysis	2.0	2.0	3.0	2.0	2.0	1.0
K00163	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209]	Pyruvate oxidation, pyruvate => acetyl-CoA	carbon utilization	pyruvate metabolism	5.0	3.0	5.0	5.0	5.0	4.0
K00161	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209]	Pyruvate oxidation, pyruvate => acetyl-CoA	carbon utilization	pyruvate metabolism	3.0	2.0	2.0	3.0	3.0	2.0
K00162	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209]	Pyruvate oxidation, pyruvate => acetyl-CoA	carbon utilization	pyruvate metabolism	2.0	1.0	3.0	2.0	2.0	2.0
K00627	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209]	Pyruvate oxidation, pyruvate => acetyl-CoA	carbon utilization	pyruvate metabolism	5.0	4.0	5.0	5.0	5.0	4.0
K00382	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209]	Pyruvate oxidation, pyruvate => acetyl-CoA	carbon utilization	pyruvate metabolism	9.0	7.0	8.0	9.0	9.0	6.0
K13997	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209]	Pyruvate oxidation, pyruvate => acetyl-CoA	carbon utilization	pyruvate metabolism	1.0	1.0	1.0	1.0	1.0	1.0
K03737	pyruvate:ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	Pyruvate oxidation, pyruvate => acetyl-CoA	carbon utilization	pyruvate metabolism		0.0	0.0	1.0	0.0	0.0	0.0
K00625	phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	carbon utilization	pyruvate metabolism		2.0	1.0	2.0	2.0	2.0	1.0
K13788	phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	carbon utilization	pyruvate metabolism		2.0	1.0	2.0	2.0	2.0	1.0
