Gene Family	AA_combined_Abundance-RPKs	B1_combined_Abundance-RPKs	C1_combined_Abundance-RPKs	D1_combined_Abundance-RPKs	E1_combined_Abundance-RPKs	F1_combined_Abundance-RPKs	log2FC_E1_vs_AA	log2FC_F1_vs_B1	log2FC_D1_vs_AA	log2FC_C1_vs_D1
K00015	3.60311	1.82265	6.72682	10.5078	9.7683	10.3095	1.4388645590133835	2.49986425848782	1.5441457813845556	-0.6434640098067594
K00015|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.60311	1.82265	6.72682	10.5078	9.7683	10.3095	1.4388645590133835	2.49986425848782	1.5441457813845556	-0.6434640098067594
K00016	116.578	5.81035	58.2773	35.6256	51.0599	0.226072	-1.1910329229990297	-4.683764712876257	-1.710309311028656	0.7100197108531271
K00016|unclassified	116.578	5.81035	58.2773	35.6256	51.0599	0.226072	-1.1910329229990297	-4.683764712876257	-1.710309311028656	0.7100197108531271
K00021	4.7253	1.644788	9.08847	14.31028	13.63698	16.34071	1.5290461545696756	3.3124963315426394	1.5985738649009356	-0.6549424934632644
K00021|g__Saccharomyces.s__Saccharomyces_cerevisiae	4.7253	1.644788	9.08847	14.31028	13.63698	16.34071	1.5290461545696756	3.3124963315426394	1.5985738649009356	-0.6549424934632644
K00026	9.28937	1.7872530000000002	17.93495	28.34217	25.84988	30.06808	1.4765048215503107	4.072416209191718	1.6092974548500605	-0.660176468684456
K00026|g__Saccharomyces.s__Saccharomyces_cerevisiae	9.28937	1.7872530000000002	17.93495	28.34217	23.37226	30.06808	1.3311444876276366	4.072416209191718	1.6092974548500605	-0.660176468684456
K00026|unclassified	0.0	0.0	0.0	0.0	2.47763	0.0	21.240529908493333	0.0	0.0	0.0
K00027	1.49341	0.718079	2.20383	3.82224	3.63101	4.29943	1.2817600380967034	2.5819292555507403	1.3558074833798606	-0.7944051504214715
K00027|g__Saccharomyces.s__Saccharomyces_cerevisiae	1.49341	0.524665	2.20383	3.82224	3.63101	4.29943	1.2817600380967034	3.034674534757255	1.3558074833798606	-0.7944051504214715
K00027|unclassified	0.0	0.193414	0.0	0.0	0.0	0.0	0.0	-17.561340159564114	0.0	0.0
K00029	0.0	0.409839	0.0	0.0	0.0	0.0	0.0	-18.644701271341926	0.0	0.0
K00029|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.409839	0.0	0.0	0.0	0.0	0.0	-18.644701271341926	0.0	0.0
K00030	21.508270000000003	1.327684	43.3718	61.22178	70.20715	104.23153	1.7067264302425669	6.2947350614121484	1.5091534603347483	-0.4972876629605621
K00030|g__Saccharomyces.s__Saccharomyces_cerevisiae	19.23927	0.847292	38.7676	54.37728	63.84055	96.66533	1.7304189687115428	6.833993799841182	1.498949880180021	-0.48815255318954615
K00030|unclassified	2.26897	0.480392	4.60423	6.84445	6.36655	7.56622	1.4884738521066476	3.9772858821301407	1.5928966563029472	-0.5719746090748115
K00031	6.93078	2.520964	16.0181	22.33825	22.6531	26.95739	1.7086187176420644	3.418632882153861	1.6884263949593101	-0.4798131112022433
K00031|g__Saccharomyces.s__Saccharomyces_cerevisiae	6.93078	2.520964	16.0181	22.33825	22.6531	26.95739	1.7086187176420644	3.418632882153861	1.6884263949593101	-0.4798131112022433
K00033	6.51911	2.407803	12.6103	20.05894	19.77149	22.5905	1.6006745259968973	3.229926402636874	1.6214982965931448	-0.6696427294182178
K00033|g__Saccharomyces.s__Saccharomyces_cerevisiae	6.51911	2.407803	12.6103	20.05894	19.77149	22.5905	1.6006745259968973	3.229926402636874	1.6214982965931448	-0.6696427294182178
K00036	3.1026	1.104926	7.49457	10.8533	10.7742	11.9727	1.7960308042283895	3.4377256937023515	1.8065838201583144	-0.5342160972068858
K00036|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.494366	0.0	0.0	0.0	0.0	0.0	-18.91522291807289	0.0	0.0
K00036|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.1026	0.61056	7.49457	10.8533	10.7742	11.9727	1.7960308042283895	4.293469406434172	1.8065838201583144	-0.5342160972068858
K00045	1.49806	0.538479	3.27092	5.02643	4.98752	5.33222	1.7352265452981688	3.307771908914059	1.7464380123689989	-0.6198374673434277
K00045|g__Saccharomyces.s__Saccharomyces_cerevisiae	1.49806	0.538479	3.27092	5.02643	4.98752	5.33222	1.7352265452981688	3.307771908914059	1.7464380123689989	-0.6198374673434277
K00048	0.113185	0.488201	0.0	0.0	0.0	0.0	-16.788335996390604	-18.897118679806127	-16.788335996390604	0.0
K00048|g__Pantoea.s__Pantoea_agglomerans	0.0377283	0.284784	0.0	0.0	0.0	0.0	-15.203397713307414	-18.119513634099555	-15.203397713307414	0.0
K00048|g__Pantoea.s__Pantoea_vagans	0.0754566	0.203417	0.0	0.0	0.0	0.0	-16.203378594153328	-17.63408782011086	-16.203378594153328	0.0
K00052	2.2068	0.881617	5.22754	8.9386	7.99926	9.8899	1.8579101855565705	3.487730494538562	2.0180925103861975	-0.7739165776937819
K00052|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.2068	0.881617	5.22754	8.9386	7.99926	9.8899	1.8579101855565705	3.487730494538562	2.0180925103861975	-0.7739165776937819
K00053	3.8733	1.80573	6.8472	10.1144	10.7655	11.2819	1.4747799357349007	2.6433552868376236	1.3847753576155257	-0.5628246138705828
K00053|g__Lactobacillus.s__Lactobacillus_coryniformis	0.0	0.14159	0.0	0.0	0.0	0.0	0.0	-17.11137004022481	0.0	0.0
K00053|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.8733	1.66414	6.8472	10.1144	10.7655	11.2819	1.4747799357349007	2.761160601284152	1.3847753576155257	-0.5628246138705828
K00054	106.254	4.62136	54.3982	30.4603	45.8976	0.154981	-1.211026513853278	-4.898145218669786	-1.8025150637219842	0.8366287427776393
K00054|unclassified	106.254	4.62136	54.3982	30.4603	45.8976	0.154981	-1.211026513853278	-4.898145218669786	-1.8025150637219842	0.8366287427776393
K00055	135.144	167.44562	139.77800000000002	147.2626	140.2304	156.933501	0.05330167724624251	-0.09353927728916647	0.12389361568604337	-0.07525376858308563
K00055|g__Lactobacillus.s__Lactobacillus_brevis	0.0	162.296	77.4119	105.952	78.7011	156.785	26.22988048286843	-0.04983990294754054	26.658835593675583	-0.45278355180460156
K00055|g__Lactobacillus.s__Lactobacillus_plantarum	77.0493	3.15468	35.4494	23.3807	33.9182	0.148501	-1.1837222162115626	-4.408939861630666	-1.7204636831165567	0.6004430645960039
K00055|unclassified	58.0948	1.99494	26.9167	17.9299	27.6111	0.0	-1.0731606433152603	-20.92791464897175	-1.696041537853458	0.5861340769185988
K00057	58.631944	194.63393	116.2122	128.8592	114.6097	168.702	0.9669703432214131	-0.20628615477976173	1.1360367331490058	-0.14903401060424265
K00057|g__Lactobacillus.s__Lactobacillus_brevis	0.203544	192.359	89.3754	108.993	87.3208	168.702	8.744833771412429	-0.18932425308107537	9.06467199708823	-0.28628578028789886
K00057|unclassified	58.4284	2.27493	26.8368	19.8662	27.2889	0.0	-1.098355513399124	-21.11739135750696	-1.5563537944570134	0.4338966962925448
K00058	169.75713	7.931203	87.87377000000001	50.31914	70.5355	7.4578	-1.2670507154418864	-0.08878959000852027	-1.7542929798999036	0.8043253127108442
K00058|g__Lactobacillus.s__Lactobacillus_plantarum	167.297	7.48495	83.2741	43.8273	64.5772	0.34194	-1.3733147675540505	-4.4521735489896646	-1.9325098417928808	0.9260380374607796
K00058|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.46013	0.446253	4.59967	6.49184	5.9583	7.11586	1.2761658671831797	3.9951013236078388	1.3998925254626766	-0.49709699200375307
K00059	138.24488	9.4305298	68.99293	53.19282	76.04211	9.744915	-0.8623555724053177	0.04731077400975249	-1.3779226053948888	0.37521700114345485
K00059|g__Acetobacter.s__Acetobacter_tropicalis	0.0	1.489553	0.0	0.0	0.0	0.0	0.0	-20.50644899510702	0.0	0.0
K00059|g__Lactobacillus.s__Lactobacillus_plantarum	135.832	6.87066	61.6331	43.7572	66.2576	0.241625	-1.035665534173057	-4.829601293550027	-1.6342310458732323	0.49418492374270584
K00059|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.41288	0.975692	7.35983	9.43562	9.78451	9.50329	2.019742985601881	3.2839280238588433	1.9673607055430287	-0.3584448322983114
K00059|unclassified	0.0	0.0946248	0.0	0.0	0.0	0.0	0.0	-16.529945971753804	0.0	0.0
K00062	2.85491	0.852504	5.58256	9.8439	9.28678	11.4064	1.7017328426130744	3.741991551772623	1.7857843774951436	-0.8183030384053244
K00062|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.85491	0.852504	5.58256	9.8439	9.28678	11.4064	1.7017328426130744	3.741991551772623	1.7857843774951436	-0.8183030384053244
K00063	3.36404	0.688771	5.21658	9.49374	10.0049	10.7227	1.5724396976494581	3.960498054316921	1.4967814030827753	-0.8638721323625675
K00063|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.36404	0.688771	5.21658	9.49374	10.0049	10.7227	1.5724396976494581	3.960498054316921	1.4967814030827753	-0.8638721323625675
K00064	0.0	0.181442	0.0	0.0	0.0	0.0	0.0	-17.469156873717058	0.0	0.0
K00064|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.181442	0.0	0.0	0.0	0.0	0.0	-17.469156873717058	0.0	0.0
K00065	0.0	223.33	88.3192	111.085	83.8836	156.65	26.321885459758235	-0.5116322894680426	26.72708879235399	-0.33086500764040744
K00065|g__Lactobacillus.s__Lactobacillus_brevis	0.0	223.33	88.3192	111.085	83.8836	156.65	26.321885459758235	-0.5116322894680426	26.72708879235399	-0.33086500764040744
K00067	0.0	0.293262	0.0	0.0	0.0	0.0	0.0	-18.16183553706342	0.0	0.0
K00067|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.293262	0.0	0.0	0.0	0.0	0.0	-18.16183553706342	0.0	0.0
K00075	157.661	216.79203	168.0743	165.1247	158.776	173.16376799999998	0.010167026092739215	-0.32417461901043665	0.06673010966700509	0.025543200483162744
K00075|g__Lactobacillus.s__Lactobacillus_brevis	0.0	211.091	96.7056	120.211	90.4317	172.938	26.43032526493089	-0.2876101582863435	26.840993688108966	-0.3138975736894705
K00075|g__Lactobacillus.s__Lactobacillus_plantarum	157.661	5.70103	71.3687	44.9137	68.3443	0.225768	-1.2059328929417792	-4.658303535761758	-1.8115983256769808	0.6681359052074612
K00077	2.2719	1.564308	6.47151	8.93693	9.10136	9.87928	2.0021823297215655	2.6588805301095513	1.9758795160726847	-0.4656768865995368
K00077|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.394028	0.0	0.0	0.0	0.0	0.0	-18.587942288424383	0.0	0.0
K00077|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.2719	1.17028	6.47151	8.93693	9.10136	9.87928	2.0021823297215655	3.077551066709451	1.9758795160726847	-0.4656768865995368
K00086	95.9597	4.09837	44.326	31.0548	44.1544	0.104656	-1.1198714196266213	-5.291309873637427	-1.627612339371769	0.5133368884300451
K00086|unclassified	95.9597	4.09837	44.326	31.0548	44.1544	0.104656	-1.1198714196266213	-5.291309873637427	-1.627612339371769	0.5133368884300451
K00088	5.86886	2.402551	12.37373	18.75664	17.83171	22.7412	1.60329269564609	3.2426688856862627	1.6762490441086344	-0.6001209126980753
K00088|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.229418	0.0	0.0	0.0	0.0	0.0	-17.807625351713288	0.0	0.0
K00088|g__Saccharomyces.s__Saccharomyces_cerevisiae	5.86886	2.173133	12.37373	18.75664	17.83171	22.7412	1.60329269564609	3.3874594053490643	1.6762490441086344	-0.6001209126980753
K00099	0.0	0.241923	0.0	0.0	0.0	0.0	0.0	-17.884194372995903	0.0	0.0
K00099|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.241923	0.0	0.0	0.0	0.0	0.0	-17.884194372995903	0.0	0.0
K00101	2.98364	0.675147	4.7992	6.52725	6.6231	7.92604	1.1504329020515465	3.553324733281314	1.1294015610568595	-0.44368128077248614
K00101|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.98364	0.675147	4.7992	6.52725	6.6231	7.92604	1.1504329020515465	3.553324733281314	1.1294015610568595	-0.44368128077248614
K00102	3.16934	1.51146	6.90551	9.94262	9.74688	11.5693	1.6207577381267646	2.9362860426686135	1.649443322032918	-0.52587803825562
K00102|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.16934	1.51146	6.90551	9.94262	9.74688	11.5693	1.6207577381267646	2.9362860426686135	1.649443322032918	-0.52587803825562
K00105	128.865	4.94922	66.4002	35.7268	55.2063	0.247123	-1.2229556448806098	-4.32389443187554	-1.8507818441394657	0.8941808688656369
K00105|g__Lactobacillus.s__Lactobacillus_plantarum	128.865	4.94922	66.4002	35.7268	55.2063	0.247123	-1.2229556448806098	-4.32389443187554	-1.8507818441394657	0.8941808688656369
K00107	3.32846	0.795485	6.57083	9.81836	9.31843	11.1812	1.4852317960147652	3.8130948093118797	1.5606269483562096	-0.5794063755962032
K00107|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.32846	0.795485	6.57083	9.81836	9.31843	11.1812	1.4852317960147652	3.8130948093118797	1.5606269483562096	-0.5794063755962032
K00111	2.26914	0.948752	3.79688	6.43888	6.63699	6.95482	1.5483830598312365	2.8739089363055523	1.50466372904008	-0.7619952036758495
K00111|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.26914	0.948752	3.79688	6.43888	6.63699	6.95482	1.5483830598312365	2.8739089363055523	1.50466372904008	-0.7619952036758495
K00116	0.0921633	0.0	0.0	0.0	0.0	0.0	-16.491920408004553	0.0	-16.491920408004553	0.0
K00116|g__Pantoea.s__Pantoea_agglomerans	0.0502709	0.0	0.0	0.0	0.0	0.0	-15.617464595512855	0.0	-15.617464595512855	0.0
K00116|g__Pantoea.s__Pantoea_vagans	0.0418924	0.0	0.0	0.0	0.0	0.0	-15.354435355281366	0.0	-15.354435355281366	0.0
K00117	0.0	0.306026	0.0	0.0	0.0	0.0	0.0	-18.2232994183603	0.0	0.0
K00117|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.306026	0.0	0.0	0.0	0.0	0.0	-18.2232994183603	0.0	0.0
K00121	1.83919	0.582914	4.52812	7.27009	6.60128	8.67332	1.8436746998710654	3.8952270730017395	1.9829021111040004	-0.6830609122868816
K00121|g__Saccharomyces.s__Saccharomyces_cerevisiae	1.83919	0.582914	4.52812	7.27009	6.60128	8.67332	1.8436746998710654	3.8952270730017395	1.9829021111040004	-0.6830609122868816
K00124	0.0	0.439446	0.0	0.0	0.0	0.0	0.0	-18.745329652438198	0.0	0.0
K00124|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.276929	0.0	0.0	0.0	0.0	0.0	-18.07916182466322	0.0	0.0
K00124|g__Pantoea.s__Pantoea_agglomerans	0.0	0.0541723	0.0	0.0	0.0	0.0	0.0	-15.725294355693944	0.0	0.0
K00124|g__Pantoea.s__Pantoea_vagans	0.0	0.108345	0.0	0.0	0.0	0.0	0.0	-16.725286366339212	0.0	0.0
K00127	0.0	0.450912	0.0	0.0	0.0	0.0	0.0	-18.782489578480046	0.0	0.0
K00127|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.162085	0.0	0.0	0.0	0.0	0.0	-17.306399959475947	0.0	0.0
K00127|g__Pantoea.s__Pantoea_agglomerans	0.0	0.288827	0.0	0.0	0.0	0.0	0.0	-18.13985108336218	0.0	0.0
K00128	8.95917	2.656584	19.32269	29.80742	28.18889	33.1289	1.6536895711668136	3.6404455659565826	1.7342344060303692	-0.6253755287664575
K00128|g__Saccharomyces.s__Saccharomyces_cerevisiae	8.95917	2.656584	19.32269	29.80742	28.18889	33.1289	1.6536895711668136	3.6404455659565826	1.7342344060303692	-0.6253755287664575
K00129	5.22476	1.586416	11.34789	15.48079	16.186970000000002	17.82454	1.6313960958446034	3.490020978533292	1.5670422391272936	-0.4480549904462497
K00129|g__Saccharomyces.s__Saccharomyces_cerevisiae	5.22476	1.586416	11.34789	15.48079	16.186970000000002	17.82454	1.6313960958446034	3.490020978533292	1.5670422391272936	-0.4480549904462497
K00133	128.64336	5.509699	67.54684999999999	48.73935	66.01857	11.429171	-0.9624331884208732	1.052675217443493	-1.4002180589199245	0.47080147275353684
K00133|g__Lactobacillus.s__Lactobacillus_plantarum	123.321	4.54513	60.6181	38.9052	55.8171	0.296771	-1.1436394034947237	-3.936894989104231	-1.664383566647685	0.6397856238832045
K00133|g__Saccharomyces.s__Saccharomyces_cerevisiae	4.06836	0.964569	6.27485	9.83415	9.62877	11.1324	1.2429039663839694	3.528735031602501	1.2733528071264113	-0.6482193055796304
K00133|unclassified	1.25422	0.0	0.653906	0.0	0.572743	0.0	-1.1308292353906861	0.0	-20.258360149929974	19.318725941690197
K00134	12.37525	4.703598	21.61675	32.8419	32.841	35.5842	1.408040314575764	2.9193998671675847	1.4080798507563328	-0.6033879354411413
K00134|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.372388	0.0	0.0	0.0	0.0	0.0	-18.506450932188958	0.0	0.0
K00134|g__Saccharomyces.s__Saccharomyces_cerevisiae	12.37525	4.33121	21.61675	32.8419	32.841	35.5842	1.408040314575764	3.0383944805638703	1.4080798507563328	-0.6033879354411413
K00135	2.73963	0.820306	4.39195	6.99633	6.54637	7.07682	1.256713775858896	3.1088655837510806	1.3526169553655072	-0.6717365869029551
K00135|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.124605	0.0	0.0	0.0	0.0	0.0	-16.927014012797418	0.0	0.0
K00135|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.73963	0.695701	4.39195	6.99633	6.54637	7.07682	1.256713775858896	3.346560055183172	1.3526169553655072	-0.6717365869029551
K00143	2.97707	0.964085	6.42129	9.2631	9.06753	10.5501	1.6068161437381727	3.451951154350099	1.6376016153282917	-0.5286318638457033
K00143|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.97707	0.964085	6.42129	9.2631	9.06753	10.5501	1.6068161437381727	3.451951154350099	1.6376016153282917	-0.5286318638457033
K00145	157.178	6.482762	79.807	47.2478	73.08	0.0926757	-1.1048507499403204	-6.128258346781598	-1.7340802184449733	0.7562681259692192
K00145|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.266602	0.0	0.0	0.0	0.0	0.0	-18.024333489150163	0.0	0.0
K00145|g__Lactobacillus.s__Lactobacillus_plantarum	157.178	6.21616	79.807	47.2478	73.08	0.0926757	-1.1048507499403204	-6.067673386008313	-1.7340802184449733	0.7562681259692192
K00146	0.0	0.831817	0.0	0.0	0.0	0.0	0.0	-19.665908378740344	0.0	0.0
K00146|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.831817	0.0	0.0	0.0	0.0	0.0	-19.665908378740344	0.0	0.0
K00147	183.85009	8.815138	99.33158	53.13479	82.12431	6.811817	-1.162648623839465	-0.37194342939873687	-1.7908011834852393	0.9025956721010016
K00147|g__Lactobacillus.s__Lactobacillus_plantarum	182.399	8.09935	95.8398	47.4319	76.9507	0.256837	-1.2450914535920135	-4.978875734961989	-1.9431682321193424	1.0147672218980988
K00147|g__Saccharomyces.s__Saccharomyces_cerevisiae	1.45109	0.715788	3.49178	5.70289	5.17361	6.55498	1.8340335872041702	3.1949853205217966	1.9745554628588344	-0.7077303807449875
K00156	0.0	0.256193	0.0	0.0	0.0	0.0	0.0	-17.96687716295163	0.0	0.0
K00156|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.256193	0.0	0.0	0.0	0.0	0.0	-17.96687716295163	0.0	0.0
K00158	348.9743	13.49927	169.14260000000002	97.7225	147.8981	0.5863039999999999	-1.238517269617646	-4.525086329347186	-1.8363581061747545	0.7914773771302456
K00158|g__Lactobacillus.s__Lactobacillus_plantarum	66.9743	2.96623	29.7393	19.5156	27.9552	0.136227	-1.2604909008798542	-4.444535787090187	-1.7789797264538136	0.6077428458057712
K00158|unclassified	281.9999	10.53304	139.4034	78.2069	119.9429	0.450077	-1.2333468840516788	-4.5486031606347	-1.8503268340479526	0.8338979367122343
K00161	58.68099	2.750945	32.68801	22.14746	29.96165	7.27499	-0.9697761114120204	1.403017642852893	-1.4057519186197303	0.5616202779534631
K00161|g__Lactobacillus.s__Lactobacillus_plantarum	25.3088	0.0	12.739	6.76842	9.79757	0.0	-1.3691431338958235	0.0	-1.9027479487523058	0.9123609321397556
K00161|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.13679	0.739385	4.66031	6.73506	6.81545	7.27499	1.673363323316556	3.2985458312421834	1.6562452077766259	-0.531264777820802
K00161|unclassified	31.2354	2.01156	15.2887	8.64401	13.3486	0.0	-1.226493503141975	-20.939884057256958	-1.8534092381141976	0.8226930205210258
K00162	3.77816	1.429932	6.51189	8.59087	9.61633	10.7858	1.3478023742823857	2.9151138654893214	1.1851202277903752	-0.3997278577607772
K00162|g__Acetobacter.s__Acetobacter_tropicalis	0.0	0.297442	0.0	0.0	0.0	0.0	0.0	-18.18225370085343	0.0	0.0
K00162|g__Saccharomyces.s__Saccharomyces_cerevisiae	3.77816	1.13249	6.51189	8.59087	9.61633	10.7858	1.3478023742823857	3.2515618310070065	1.1851202277903752	-0.3997278577607772
K00163	0.0	0.23428	0.0	0.0	0.0	0.0	0.0	-17.83788043197862	0.0	0.0
K00163|g__Pantoea.s__Pantoea_agglomerans	0.0	0.129259	0.0	0.0	0.0	0.0	0.0	-16.979916371165302	0.0	0.0
K00163|g__Pantoea.s__Pantoea_vagans	0.0	0.105021	0.0	0.0	0.0	0.0	0.0	-16.680332049626262	0.0	0.0
K00164	4.46088	1.63874	11.4924	17.7633	15.979	19.6295	1.8407766465292312	3.582363736363188	1.9934991384321545	-0.6282194680655852
K00164|g__Saccharomyces.s__Saccharomyces_cerevisiae	2.51168	0.979628	7.07164	11.2542	9.69206	12.3565	1.9481502407585223	3.6568909790726285	2.163738486045961	-0.670346693642179
K00164|unclassified	1.9492	0.659115	4.42077	6.50909	6.28699	7.27295	1.6894868300704042	3.463936559120986	1.7395732160990316	-0.5581580805902344
K00211	0.914626	0.168113	1.79254	3.51257	3.09546	3.51522	1.7588988691705552	4.386103615837716	1.9412719734119086	-0.9705212695562375
K00211|g__Saccharomyces.s__Saccharomyces_cerevisiae	0.914626	0.168113	1.79254	3.51257	3.09546	3.51522	1.7588988691705552	4.386103615837716	1.9412719734119086	-0.9705212695562375
K00215	99.6081	3.82002	52.5089	27.0031	43.8464	0.159828	-1.183804651370341	-4.578979463914764	-1.8831379856565413	0.9594369067266648
